k,k_over_pi,band_1,band_2,band_3,band_4
-1.5707963267948966,-0.5,1.2335691858099271,11.103383769402782,30.84253251987912,60.45133571436333
-1.5184364492350668,-0.4833333333333334,1.1526960699553639,11.351491610211632,30.43267008321625,61.02843332604919
-1.4660765716752369,-0.4666666666666667,1.0745643038665342,11.602341204707518,30.02554921107018,61.60827249593322
-1.413716694115407,-0.45,0.9991739053105863,11.855932534867716,29.621169903721107,62.19085322398457
-1.3613568165555772,-0.4333333333333334,0.9265248899170045,12.112265584792778,29.219532161461867,62.77617551017433
-1.3089969389957472,-0.4166666666666667,0.85661727148026,12.371340340403284,28.820635984599633,63.36423935447344
-1.2566370614359172,-0.4,0.7894510622116866,12.633156789187021,28.424481373456622,63.95504475685383
-1.2042771838760875,-0.38333333333333336,0.7250262729509557,12.897714919986718,28.031068328370313,64.54859171728845
-1.1519173063162575,-0.3666666666666667,0.6633429133431517,13.165014722821944,27.640396849695634,65.14488023575036
-1.0995574287564276,-0.35,0.6044009919883132,13.435056188738406,27.252466937805117,65.74391031221428
-1.0471975511965979,-0.33333333333333337,0.5482005165695686,13.707839309679109,26.86727859308981,66.34568194665445
-0.9948376736367681,-0.31666666666666676,0.49474149396044526,13.983364078375141,26.48483181596161,66.9501951390469
-0.9424777960769379,-0.3,0.44402393031829257,14.261630488252093,26.10512660685306,67.5574498893675
-0.8901179185171082,-0.2833333333333334,0.3960478311629592,14.542638533348319,25.728162966220474,68.16744619759318
-0.8377580409572785,-0.2666666666666668,0.3508132014460762,14.82638820824671,25.353940894543438,68.7801840637008
-0.7853981633974483,-0.25,0.30832004560831056,15.112879508012174,24.982460392328864,69.39566348766876
-0.7330382858376185,-0.2333333333333334,0.2685683676319624,15.402112428141228,24.61372146011046,70.01388446947566
-0.6806784082777888,-0.21666666666666676,0.23155817108383103,15.69408696451455,24.247724098451755,70.63484700910044
-0.6283185307179586,-0.2,0.19728945915299007,15.988803113357784,23.8844683079484,71.2585511065222
-0.5759586531581289,-0.18333333333333338,0.1657622346848164,16.28626087120569,23.523954089230017,71.88499676172138
-0.5235987755982991,-0.16666666666666677,0.13697650020899652,16.58646023487139,23.16618144296252,72.51418397467867
-0.47123889803846897,-0.15,0.11093225796408226,16.889401201419048,22.811150369851383,73.14611274537484
-0.41887902047863923,-0.1333333333333334,0.08762950991856397,17.19508376813943,22.45886087064429,73.7807830737912
-0.3665191429188095,-0.11666666666666677,0.06706825779054411,17.50350793252834,22.10931294613417,74.41819495991028
-0.3141592653589793,-0.1,0.04924850306123466,17.814673692267178,21.76250659716383,75.05834840371419
-0.2617993877991496,-0.08333333333333338,0.03417024698987866,18.128581045205188,21.41844182462978,75.70124340518542
-0.20943951023931984,-0.06666666666666676,0.021833490624308245,18.44522998934127,21.077118629489355,76.34687996430769
-0.15707963267948966,-0.05,0.01223823481012782,18.764620522804677,20.738537012770898,76.99525808106438
-0.10471975511965992,-0.03333333333333338,0.0053844801972410565,19.086752643816236,20.402696975606787,77.6463777554398
-0.05235987755983018,-0.01666666666666676,0.0012722272465083128,19.41162635048879,20.069598519425124,78.30023898741783
0.0,0.0,-9.852376756176761e-05,19.739214435103698,19.739268851670687,78.9568417769783
0.05235987755982974,0.016666666666666618,0.0012722272465984074,19.411626350488646,20.069598519425067,78.30023898741797
0.10471975511965947,0.033333333333333236,0.00538448019742925,19.086752643816066,20.40269697560672,77.64637775543983
0.15707963267948966,0.05,0.012238234810253136,18.764620522804606,20.73853701277091,76.99525808106458
0.2094395102393194,0.06666666666666662,0.02183349062432142,18.44522998934112,21.077118629489302,76.34687996430787
0.26179938779914913,0.08333333333333325,0.03417024698991527,18.128581045205156,21.418441824629802,75.70124340518541
0.3141592653589793,0.1,0.049248503061199114,17.814673692267267,21.762506597163842,75.05834840371404
0.36651914291880905,0.11666666666666661,0.06706825779038457,17.50350793252851,22.109312946134217,74.41819495991024
0.4188790204786388,0.13333333333333325,0.08762950991862418,17.19508376813946,22.458860870644337,73.78078307379133
0.47123889803846897,0.15,0.11093225796409899,16.889401201418853,22.811150369851305,73.14611274537471
0.5235987755982987,0.16666666666666663,0.13697650020905805,16.586460234871307,23.16618144296267,72.51418397467857
0.5759586531581284,0.18333333333333324,0.16576223468476595,16.28626087120571,23.52395408923001,71.88499676172144
0.6283185307179586,0.2,0.1972894591529559,15.988803113357752,23.884468307948506,71.25855110652222
0.6806784082777884,0.21666666666666662,0.2315581710837435,15.694086964514584,24.247724098451766,70.63484700910034
0.7330382858376181,0.23333333333333323,0.26856836763205705,15.402112428141072,24.613721460110465,70.0138844694757
0.7853981633974483,0.25,0.3083200456082351,15.11287950801218,24.98246039232891,69.39566348766904
0.837758040957278,0.2666666666666666,0.35081320144603445,14.826388208246572,25.353940894543587,68.78018406370082
0.8901179185171078,0.2833333333333332,0.3960478311629442,14.542638533348404,25.728162966220268,68.167446197593
0.9424777960769379,0.3,0.44402393031824305,14.261630488252086,26.105126606853133,67.55744988936767
0.9948376736367672,0.3166666666666665,0.49474149396049955,13.983364078375171,26.484831815961517,66.9501951390469
1.0471975511965974,0.33333333333333326,0.5482005165695225,13.707839309679045,26.867278593089864,66.34568194665457
1.0995574287564276,0.35,0.6044009919883134,13.435056188738432,27.25246693780519,65.74391031221424
1.1519173063162569,0.3666666666666665,0.6633429133431403,13.165014722822072,27.640396849695666,65.14488023575038
1.204277183876087,0.38333333333333325,0.7250262729510009,12.897714919986681,28.03106832837033,64.54859171728835
1.2566370614359172,0.4,0.7894510622116965,12.633156789187048,28.42448137345651,63.95504475685387
1.3089969389957465,0.41666666666666646,0.85661727148018,12.371340340403277,28.820635984599626,63.364239354473504
1.3613568165555767,0.43333333333333324,0.9265248899169262,12.112265584792848,29.21953216146181,62.7761755101744
1.413716694115407,0.45,0.9991739053105969,11.855932534867724,29.621169903720983,62.19085322398462
1.4660765716752362,0.46666666666666645,1.0745643038665178,11.602341204707638,30.02554921107024,61.60827249593291
1.5184364492350664,0.4833333333333332,1.1526960699553594,11.35149161021169,30.432670083216205,61.0284333260491
1.5707963267948966,0.5,1.2335691858098092,11.103383769402692,30.842532519879256,60.451335714363395
1.6231562043547259,0.5166666666666665,1.317183631159895,10.858017702792848,31.25513652079191,59.87697966090681
1.675516081914556,0.5333333333333332,1.4035393827882727,10.615393433828027,31.67048208569907,59.30536516571191
1.7278759594743862,0.55,1.4926364139875654,10.375510989432458,32.088569214356305,58.73649222881152
1.7802358370342155,0.5666666666666664,1.5844746938923708,10.138370400676305,32.50939790652994,58.17036085023965
1.8325957145940457,0.5833333333333333,1.6790541866500253,9.903971703605901,32.932968161996534,57.60697103003142
1.8849555921538759,0.6,1.7763748503845527,9.672314940280046,33.359279980542134,57.046322768222716
1.9373154697137052,0.6166666666666665,1.876436635889934,9.443400160077353,33.7883333619613,56.48841606485064
1.9896753472735353,0.6333333333333332,1.979239484966857,9.217227421359976,34.2201283060577,55.93325091995319
2.0420352248333655,0.65,2.08478332828398,8.99379679361226,34.65466481264329,55.38082733356999
2.094395102393195,0.6666666666666665,2.193068082598589,8.773108360221386,35.09194288153699,54.831145305741316
2.146754979953025,0.6833333333333332,2.3040936470973845,8.55516222213591,35.53196251256579,54.28420483650875
2.199114857512855,0.7,2.417859898520247,8.339958502743224,35.974723705563115,53.740005925915085
2.2514747350726845,0.7166666666666665,2.5343666845606814,8.127497354468591,36.42022646036919,53.19854857400492
2.3038346126325147,0.7333333333333333,2.653613814793357,7.917778967848586,36.86847077683045,52.65983278082363
2.356194490192345,0.75,2.77560104797289,7.710803584231852,37.31945665479973,52.12385854641824
2.408554367752174,0.7666666666666665,2.9003280738906994,7.506571513923309,37.773184094135075,51.59062587083719
2.4609142453120043,0.7833333333333332,3.027794486860297,7.305083162698307,38.229653094700105,51.060134754130466
2.5132741228718345,0.8,3.157999745949865,7.106339071570747,38.688863656363715,50.532385196349615
2.565634000431664,0.8166666666666664,3.2909431135323044,6.910339978243131,39.1508157789998,50.00737719754787
2.617993877991494,0.8333333333333333,3.4266235569835355,6.717086915407869,39.615509462486905,49.48511075777989
2.670353755551324,0.85,3.5650395848863043,6.526581374544827,40.082944706707785,48.96558587710267
2.7227136331111534,0.8666666666666665,3.7061889604754508,6.338825592474851,40.55312151154993,48.44880255557451
2.7750735106709836,0.8833333333333332,3.8500681696962644,6.15382308330252,41.02603987690476,47.93476079325576
2.827433388230814,0.9,3.996671357973811,5.971579701646184,41.50169980266758,47.423460590209025
2.879793265790643,0.9166666666666665,4.145987993248359,5.792105979603442,41.980101288737394,46.914901946498404
2.9321531433504733,0.9333333333333332,4.297997032176885,5.615422960548613,42.46124433501715,46.409084862190824
2.9845130209103035,0.95,4.452649465036621,5.4415796542308925,42.945128941412506,45.906009337355144
3.0368728984701328,0.9666666666666665,4.609798896885226,5.27072245561212,43.43175510783316,45.40567537206231
3.089232776029963,0.9833333333333333,4.768725102787251,5.103571589642427,43.92112283419133,44.908082966386154
3.141592653589793,1.0,4.903594335817963,4.965960803254761,44.41323210514296,44.41323213566306
