time_s,intensity_random_phase,intensity_locked_phase
5.6098809530e-08,2.7601104775e-01,2.2867221466e-04
5.6108816453e-08,3.3039504225e-01,2.4509356453e-04
5.6118823376e-08,3.8652184411e-01,2.3984183948e-04
5.6128830299e-08,4.4291125184e-01,2.1378411520e-04
5.6138837222e-08,4.9805358428e-01,1.7149820817e-04
5.6148844145e-08,5.5045198676e-01,1.2048141493e-04
5.6158851068e-08,5.9866614052e-01,6.9834550380e-05
5.6168857990e-08,6.4135748667e-01,2.8652092597e-05
5.6178864913e-08,6.7733560038e-01,4.4030201142e-06
5.6188871836e-08,7.0560456603e-01,1.5904313678e-06
5.6198878759e-08,7.2540723419e-01,2.0930313511e-05
5.6208885682e-08,7.3626426842e-01,5.9199033095e-05
5.6218892605e-08,7.3800412747e-01,1.0978111928e-04
5.6228899528e-08,7.3077978785e-01,1.6382450965e-04
5.6238906450e-08,7.1506826271e-01,2.1180171374e-04
5.6248913373e-08,6.9164991461e-01,2.4520176186e-04
5.6258920296e-08,6.6156618624e-01,2.5805267304e-04
5.6268927219e-08,6.2605656961e-01,2.4800229399e-04
5.6278934142e-08,5.8647817316e-01,2.1676209211e-04
5.6288941065e-08,5.4421381219e-01,1.6983051311e-04
5.6298947988e-08,5.0057677512e-01,1.1554015202e-04
5.6308954910e-08,4.5672193501e-01,6.3593637535e-05
5.6318961833e-08,4.1357336580e-01,2.3345281265e-05
5.6328968756e-08,3.7177787027e-01,2.1326020132e-06
5.6338975679e-08,3.3169176582e-01,3.9551109878e-06
5.6348982602e-08,2.9340500892e-01,2.8738051994e-05
5.6358989525e-08,2.5680255288e-01,7.2316373718e-05
5.6368996448e-08,2.2165816366e-01,1.2714698483e-04
5.6379003370e-08,1.8775131614e-01,1.8362776432e-04
5.6389010293e-08,1.5499385804e-01,2.3179290754e-04
5.6399017216e-08,1.2355043321e-01,2.6308550890e-04
5.6409024139e-08,9.3935670619e-02,2.7189233001e-04
5.6419031062e-08,6.7072163412e-02,2.5656570497e-04
5.6429037985e-08,4.4296352023e-02,2.1974678831e-04
5.6439044908e-08,2.7304400025e-02,1.6792734146e-04
5.6449051830e-08,1.8036574624e-02,1.1032234657e-04
5.6459058753e-08,1.8505866097e-02,5.7248982871e-05
5.6469065676e-08,3.0583805215e-02,1.8296878651e-05
5.6479072599e-08,5.5762808913e-02,6.1389617159e-07
5.6489079522e-08,9.4919088959e-02,7.6136326293e-06
5.6499086445e-08,1.4810252597e-01,3.8338101681e-05
5.6509093368e-08,2.1437950417e-01,8.7594215328e-05
5.6519100290e-08,2.9175137951e-01,1.4684582731e-04
5.6529107213e-08,3.7716520299e-01,2.0570841253e-04
5.6539114136e-08,4.6662504968e-01,2.5378493233e-04
5.6549121059e-08,5.5540259822e-01,2.8251859650e-04
5.6559127982e-08,6.3833544450e-01,2.8673262929e-04
5.6569134905e-08,7.1019208982e-01,2.6558023316e-04
5.6579141828e-08,7.6607465974e-01,2.2273074547e-04
5.6589148750e-08,8.0182508309e-01,1.6575260067e-04
5.6599155673e-08,8.1439833599e-01,1.0479643981e-04
5.6609162596e-08,8.0216775235e-01,5.0807209055e-05
5.6619169519e-08,7.6513226953e-01,1.3579873410e-05
5.6629176442e-08,7.0500339998e-01,3.8423663235e-09
5.6639183365e-08,6.2515995288e-01,1.2810474519e-05
5.6649190288e-08,5.3047008760e-01,5.0051057271e-05
5.6659197210e-08,4.2699203286e-01,1.0540445758e-04
5.6669204133e-08,3.2157560559e-01,1.6926668655e-04
5.6679211056e-08,2.2139546497e-01,2.3043492068e-04
5.6689217979e-08,1.3345300787e-01,2.7809101202e-04
5.6699224902e-08,6.4086413025e-02,3.0373361826e-04
5.6709231825e-08,1.8527380763e-02,3.0271419270e-04
5.6719238747e-08,5.3875730061e-04,2.7509964284e-04
5.6729245670e-08,1.2159970833e-02,2.2570200119e-04
5.6739252593e-08,5.3577801900e-02,1.6326245945e-04
5.6749259516e-08,1.2312940232e-01,9.8927679709e-05
5.6759266439e-08,2.1743368099e-01,4.4283629919e-05
5.6769273362e-08,3.3163717550e-01,9.2934127728e-06
5.6779280285e-08,4.5975218152e-01,5.0578655413e-07
5.6789287207e-08,5.9505886652e-01,1.9856161207e-05
5.6799294130e-08,7.3053973925e-01,6.4279201424e-05
5.6809301053e-08,8.5931429258e-01,1.2620953823e-04
5.6819307976e-08,9.7504372220e-01,1.9488951995e-04
5.6829314899e-08,1.0722799555e+00,2.5825835187e-04
5.6839321822e-08,1.1467392355e+00,3.0509125583e-04
5.6849328745e-08,1.1954875239e+00,3.2700962035e-04
5.6859335667e-08,1.2170323249e+00,3.2000254226e-04
5.6869342590e-08,1.2113225298e+00,2.8518385301e-04
5.6879349513e-08,1.1796640113e+00,2.2864237460e-04
5.6889356436e-08,1.1245635424e+00,1.6040342690e-04
5.6899363359e-08,1.0495169659e+00,9.2678209279e-05
5.6909370282e-08,9.5875932027e-01,3.7706332524e-05
5.6919377205e-08,8.5699493860e-01,5.5722695953e-06
5.6929384127e-08,7.4912457964e-01,2.3848589559e-06
5.6939391050e-08,6.3998471760e-01,2.9148085439e-05
5.6949397973e-08,5.3411152909e-01,8.1531353415e-05
5.6959404896e-08,4.3553919367e-01,1.5058915666e-04
5.6969411819e-08,3.4763914619e-01,2.2431126877e-04
5.6979418742e-08,2.7300410624e-01,2.8973529983e-04
5.6989425665e-08,2.1337820765e-01,3.3525048710e-04
5.6999432587e-08,1.6963243423e-01,3.5268372896e-04
5.7009439510e-08,1.4178284759e-01,3.3879353964e-04
5.7019446433e-08,1.2904773345e-01,2.9589935710e-04
5.7029453356e-08,1.2993873273e-01,2.3152503108e-04
5.7039460279e-08,1.4238019314e-01,1.5710987884e-04
5.7049467202e-08,1.6385032061e-01,8.6007549629e-05
5.7059474125e-08,1.9153719035e-01,3.1122263985e-05
5.7069481047e-08,2.2250229264e-01,2.6003452757e-06
5.7079487970e-08,2.5384405965e-01,5.9895128780e-06
5.7089494893e-08,2.8285379410e-01,4.1199349651e-05
5.7099501816e-08,3.0715665414e-01,1.0245700148e-04
5.7109508739e-08,3.2483089730e-01,1.7927671261e-04
5.7119515662e-08,3.3449948829e-01,2.5828113919e-04
5.7129522585e-08,3.3538944245e-01,3.2555866880e-04
5.7139529507e-08,3.2735588587e-01,3.6914190323e-04
5.7149536430e-08,3.1086970042e-01,3.8116629828e-04
5.7159543353e-08,2.8696968777e-01,3.5932016088e-04
5.7169550276e-08,2.5718229980e-01,3.0731933801e-04
5.7179557199e-08,2.2341399376e-01,2.3431099003e-04
5.7189564122e-08,1.8782302267e-01,1.5330086518e-04
5.7199571045e-08,1.5267882045e-01,7.8873808191e-05
5.7209577967e-08,1.2021796508e-01,2.4606412944e-05
5.7219584890e-08,9.2505920015e-02,6.3020714258e-07
5.7229591813e-08,7.1313328201e-02,1.1782133088e-05
5.7239598736e-08,5.8014581931e-02,5.6679292075e-05
5.7249605659e-08,5.3514784969e-02,1.2789384954e-04
5.7259612582e-08,5.8209178360e-02,2.1320967471e-04
5.7269619505e-08,7.1976773549e-02,2.9774898742e-04
5.7279626427e-08,9.4207506348e-02,3.6659949876e-04
5.7289633350e-08,1.2385988301e-01,4.0747882654e-04
5.7299640273e-08,1.5954401839e-01,4.1296081443e-04
5.7309647196e-08,1.9962332677e-01,3.8186092339e-04
5.7319654119e-08,2.4232704232e-01,3.1952316548e-04
5.7329661042e-08,2.8586529655e-01,2.3694406430e-04
5.7339667965e-08,3.2853868798e-01,1.4887599078e-04
5.7349674887e-08,3.6883511415e-01,7.1236197601e-05
5.7359681810e-08,4.0550801415e-01,1.8275850973e-05
5.7369688733e-08,4.3763196395e-01,1.1813570682e-08
5.7379695656e-08,4.6463361317e-01,2.0383237560e-05
5.7389702579e-08,4.8629806966e-01,7.6471338869e-05
5.7399709502e-08,5.0275283982e-01,1.5893508110e-04
5.7409716425e-08,5.1443314217e-01,2.5360025458e-04
5.7419723347e-08,5.2203368147e-01,3.4393263558e-04
5.7429730270e-08,5.2645269053e-01,4.1396457012e-04
5.7439737193e-08,5.2873415797e-01,4.5115782371e-04
5.7449744116e-08,5.3001365995e-01,4.4869027221e-04
5.7459751039e-08,5.3147215633e-01,4.0675030983e-04
5.7469757962e-08,5.3430060747e-01,3.3259471465e-04
5.7479764885e-08,5.3967647233e-01,2.3934344031e-04
5.7489771807e-08,5.4875125339e-01,1.4371012714e-04
5.7499778730e-08,5.6264646796e-01,6.3059916189e-05
5.7509785653e-08,5.8245395508e-01,1.2311554338e-05
5.7519792576e-08,6.0923546071e-01,1.2355096548e-06
5.7529799499e-08,6.4401612367e-01,3.2636457666e-05
5.7539806422e-08,6.8776689580e-01,1.0175704612e-04
5.7549813345e-08,7.4137208413e-01,1.9702615119e-04
5.7559820267e-08,8.0558002832e-01,3.0203621807e-04
5.7569827190e-08,8.8093727328e-01,3.9841300755e-04
5.7579834113e-08,9.6770923893e-01,4.6907690605e-04
5.7589841036e-08,1.0657930462e+00,5.0131800905e-04
5.7599847959e-08,1.1746305184e+00,4.8913241551e-04
5.7609854882e-08,1.2931311302e+00,4.3439149504e-04
5.7619861805e-08,1.4196155414e+00,3.4661849538e-04
5.7629868727e-08,1.5517901292e+00,2.4139265892e-04
5.7639875650e-08,1.6867615059e+00,1.3764671443e-04
5.7649882573e-08,1.8210974000e+00,5.4325306627e-05
5.7659889496e-08,1.9509366331e+00,6.9929530064e-06
5.7669896419e-08,2.0721465237e+00,4.9976829848e-06
5.7679903342e-08,2.1805212847e+00,4.9705976618e-05
5.7689910265e-08,2.2720103214e+00,1.3414057680e-04
5.7699917187e-08,2.3429612898e+00,2.4410671457e-04
5.7709924110e-08,2.3903598185e+00,3.6062731466e-04
5.7719931033e-08,2.4120463427e+00,4.6327091234e-04
5.7729937956e-08,2.4068908236e+00,5.3379006348e-04
5.7739944879e-08,2.3749083329e+00,5.5942369490e-04
5.7749951802e-08,2.3173024873e+00,5.3526715840e-04
5.7759958725e-08,2.2364292386e+00,4.6527146724e-04
5.7769965647e-08,2.1356800772e+00,3.6167175807e-04
5.7779972570e-08,2.0192907062e+00,2.4292302588e-04
5.7789979493e-08,1.8920879817e+00,1.3048953279e-04
5.7799986416e-08,1.7591937140e+00,4.5044860909e-05
5.7809993339e-08,1.6257081501e+00,2.7538107501e-06
5.7820000262e-08,1.4963981390e+00,1.2303295996e-05
5.7830007185e-08,1.3754148341e+00,7.3225906448e-05
5.7840014107e-08,1.2660632792e+00,1.7583708375e-04
5.7850021030e-08,1.1706415713e+00,3.0282312512e-04
5.7860027953e-08,1.0903609495e+00,4.3222226320e-04
5.7870034876e-08,1.0253507534e+00,5.4128744381e-04
5.7880041799e-08,9.7474450288e-01,6.1055317981e-04
5.7890048722e-08,9.3683614828e-01,6.2738116978e-04
5.7900055644e-08,9.0928957581e-01,5.8834072116e-04
5.7910062567e-08,8.8938032228e-01,4.9997799327e-04
5.7920069490e-08,8.7424654108e-01,3.7780919995e-04
5.7930076413e-08,8.6112671062e-01,2.4368827666e-04
5.7940083336e-08,8.4756425736e-01,1.2199326679e-04
5.7950090259e-08,8.3156380522e-01,3.5294883485e-05
5.7960097182e-08,8.1168959256e-01,2.7485026190e-07
5.7970104104e-08,7.8710302180e-01,2.4630102312e-05
5.7980111027e-08,7.5754259127e-01,1.0553503489e-04
5.7990117950e-08,7.2325492211e-01,2.2996475371e-04
5.8000124873e-08,6.8488968121e-01,3.7685406711e-04
5.8010131796e-08,6.4337355685e-01,5.2073748277e-04
5.8020138719e-08,5.9977893285e-01,6.3624369956e-04
5.8030145642e-08,5.5520163159e-01,7.0265370652e-04
5.8040152564e-08,5.1065936253e-01,7.0770597550e-04
5.8050159487e-08,4.6701878212e-01,6.4995245179e-04
5.8060166410e-08,4.2495489133e-01,5.3921622503e-04
5.8070173333e-08,3.8494242125e-01,3.9503394836e-04
5.8080180256e-08,3.4727537356e-01,2.4332532895e-04
5.8090187179e-08,3.1210835000e-01,1.1185448609e-04
5.8100194102e-08,2.7951191386e-01,2.5275211245e-05
5.8110201024e-08,2.4953398901e-01,6.4167538805e-07
5.8120207947e-08,2.2226006199e-01,4.4199282244e-05
5.8130214870e-08,1.9786642680e-01,1.5005617578e-04
5.8140221793e-08,1.7666254531e-01,3.0100995002e-04
5.8150228716e-08,1.5912042413e-01,4.7142264875e-04
5.8160235639e-08,1.4589041981e-01,6.3166747710e-04
5.8170242562e-08,1.3780387107e-01,7.5337926380e-04
5.8180249484e-08,1.3586334191e-01,8.1458137351e-04
5.8190256407e-08,1.4122110896e-01,8.0376563723e-04
5.8200263330e-08,1.5514602247e-01,7.2217148334e-04
5.8210270253e-08,1.7897828073e-01,5.8381870731e-04
5.8220277176e-08,2.1407127467e-01,4.1324272088e-04
5.8230284099e-08,2.6171974450e-01,2.4129268577e-04
5.8240291022e-08,3.2307421758e-01,9.9708199651e-05
5.8250297944e-08,3.9904311177e-01,1.5424292118e-05
5.8260304867e-08,4.9018589079e-01,5.6229200041e-06
5.8270311790e-08,5.9660300186e-01,7.4436214042e-05
5.8280318713e-08,7.1783065592e-01,2.1192889840e-04
5.8290325636e-08,8.5275041068e-01,3.9559096641e-04
5.8300332559e-08,9.9952457297e-01,5.9412546162e-04
5.8310339482e-08,1.1555683130e+00,7.7289910117e-04
5.8320346404e-08,1.3175678741e+00,9.0011097278e-04
5.8330353327e-08,1.4815513439e+00,9.5258498845e-04
5.8340360250e-08,1.6430143072e+00,9.2013557246e-04
5.8350367173e-08,1.7970976880e+00,8.0768956715e-04
5.8360374096e-08,1.9388097416e+00,6.3473281118e-04
5.8370381019e-08,2.0632790795e+00,4.3212143589e-04
5.8380387942e-08,2.1660214434e+00,2.3677286991e-04
5.8390394864e-08,2.2432002331e+00,8.5144616019e-05
5.8400401787e-08,2.2918599624e+00,6.6476079250e-06
5.8410408710e-08,2.3101130599e+00,1.8178962034e-05
5.8420415633e-08,2.2972637126e+00,1.2078476998e-04
5.8430422556e-08,2.2538574834e+00,2.9910361912e-04
5.8440429479e-08,2.1816517192e+00,5.2375613578e-04
5.8450436402e-08,2.0835086407e+00,7.5631931126e-04
5.8460443324e-08,1.9632197390e+00,9.5605036049e-04
5.8470450247e-08,1.8252759655e+00,1.0871898369e-03
5.8480457170e-08,1.6746025807e+00,1.1255412486e-03
5.8490464093e-08,1.5162799629e+00,1.0631232032e-03
5.8500471016e-08,1.3552719778e+00,9.1000801361e-04
5.8510477939e-08,1.1961816923e+00,6.9294592166e-04
5.8520484862e-08,1.0430505753e+00,4.5094349473e-04
5.8530491784e-08,8.9921234193e-01,2.2851798296e-04
5.8540498707e-08,7.6720688069e-01,6.7786552278e-05
5.8550505630e-08,6.4875392513e-01,7.8874121629e-07
5.8560512553e-08,5.4478093632e-01,4.3434106549e-05
5.8570519476e-08,4.5549556663e-01,1.9220967239e-04
5.8580526399e-08,3.8049044621e-01,4.2431332057e-04
5.8590533322e-08,3.1886701481e-01,7.0127850567e-04
5.8600540244e-08,2.6936565532e-01,9.7552734956e-04
5.8610547167e-08,2.3049121949e-01,1.1987456954e-03
5.8620554090e-08,2.0062577617e-01,1.3306152306e-03
5.8630561013e-08,1.7812358592e-01,1.3463338681e-03
5.8640567936e-08,1.6138643001e-01,1.2415318207e-03
5.8650574859e-08,1.4892007598e-01,1.0336231020e-03
5.8660581782e-08,1.3937453790e-01,7.5924967090e-04
5.8670588704e-08,1.3157173133e-01,4.6817193597e-04
5.8680595627e-08,1.2452413631e-01,2.1461148927e-04
5.8690602550e-08,1.1744732062e-01,4.7540908964e-05
5.8700609473e-08,1.0976790996e-01,1.6484246797e-06
5.8710616396e-08,1.0112715416e-01,9.0632831693e-05
5.8720623319e-08,9.1378969413e-02,3.0411050099e-04
5.8730630242e-08,8.0580525577e-02,6.0880029051e-04
5.8740637164e-08,6.8973289199e-02,9.5389766891e-04
5.8750644087e-08,5.6952994421e-02,1.2797885032e-03
5.8760651010e-08,4.5028227387e-02,1.5286229109e-03
5.8770657933e-08,3.3768984047e-02,1.6548880528e-03
5.8780664856e-08,2.3748412467e-02,1.6340622053e-03
5.8790671779e-08,1.5482648853e-02,1.4677210987e-03
5.8800678702e-08,9.3748775274e-03,1.1840598583e-03
5.8810685624e-08,5.6702234421e-03,8.3359239092e-04
5.8820692547e-08,4.4276576681e-03,4.8065687371e-04
5.8830699470e-08,5.5137287900e-03,1.9213658200e-04
5.8840706393e-08,8.6207336559e-03,2.5355724071e-05
5.8850713316e-08,1.3309147116e-02,1.7323207517e-05
5.8860720239e-08,1.9071080188e-02,1.7732375316e-04
5.8870727162e-08,2.5408623800e-02,4.8431412835e-04
5.8880734084e-08,3.1918558489e-02,8.8975827257e-04
5.8890741007e-08,3.8373415800e-02,1.3255684211e-03
5.8900747930e-08,4.4788512151e-02,1.7158802069e-03
5.8910754853e-08,5.1465452894e-02,1.9906491882e-03
5.8920761776e-08,5.9004682447e-02,2.0986553549e-03
5.8930768699e-08,6.8282742282e-02,2.0175254249e-03
5.8940775622e-08,8.0393667879e-02,1.7588409170e-03
5.8950782544e-08,9.6557990206e-02,1.3672254851e-03
5.8960789467e-08,1.1800664476e-01,9.1336133261e-04
5.8970796390e-08,1.4585028095e-01,4.8198842527e-04
5.8980803313e-08,1.8094662206e-01,1.5689310241e-04
5.8990810236e-08,2.2377937792e-01,5.5159526801e-06
5.9000817159e-08,2.7436163248e-01,6.5976925486e-05
5.9010824082e-08,3.3217464898e-01,3.3898080294e-04
5.9020831004e-08,3.9614984904e-01,7.8626993392e-04
5.9030837927e-08,4.6469765548e-01,1.3361603975e-03
5.9040844850e-08,5.3578236940e-01,1.8954250297e-03
5.9050851773e-08,6.0703775669e-01,2.3655979035e-03
5.9060858696e-08,6.7591402409e-01,2.6608895865e-03
5.9070865619e-08,7.3984378776e-01,2.7244942383e-03
5.9080872541e-08,7.9641279950e-01,2.5402322262e-03
5.9090879464e-08,8.4352077862e-01,2.1371994371e-03
5.9100886387e-08,8.7951873381e-01,1.5862779151e-03
5.9110893310e-08,9.0331152448e-01,9.8880541331e-04
5.9120900233e-08,9.1441784249e-01,4.5915183791e-04
5.9130907156e-08,9.1298392338e-01,1.0414405001e-04
5.9140914079e-08,8.9975168206e-01,2.9878984622e-06
5.9150921001e-08,8.7598615854e-01,1.9140688539e-04
5.9160927924e-08,8.4337072711e-01,6.5310895826e-04
5.9170934847e-08,8.0388111984e-01,1.3204868049e-03
5.9180941770e-08,7.5965070290e-01,2.0848457125e-03
5.9190948693e-08,7.1283951690e-01,2.8147124875e-03
5.9200955616e-08,6.6551838749e-01,3.3792217202e-03
5.9210962539e-08,6.1957710059e-01,3.6724959153e-03
5.9220969461e-08,5.7666250145e-01,3.6345548633e-03
5.9230976384e-08,5.3814878096e-01,3.2647114416e-03
5.9240983307e-08,5.0513855819e-01,2.6245985116e-03
5.9250990230e-08,4.7849005006e-01,1.8297454160e-03
5.9260997153e-08,4.5886298493e-01,1.0306868956e-03
5.9271004076e-08,4.4677423166e-01,3.8657753222e-04
5.9281010999e-08,4.4265353063e-01,3.5830839308e-05
5.9291017921e-08,4.4689026049e-01,6.9095286626e-05
5.9301024844e-08,4.5986375811e-01,5.0973262260e-04
5.9311031767e-08,4.8195212620e-01,1.3058519564e-03
5.9321038690e-08,5.1351742432e-01,2.3360272693e-03
5.9331045613e-08,5.5486830239e-01,3.4283957828e-03
5.9341052536e-08,6.0620414753e-01,4.3903201871e-03
5.9351059459e-08,6.6754734518e-01,5.0436597265e-03
5.9361066381e-08,7.3867203282e-01,5.2593523246e-03
5.9371073304e-08,8.1903856623e-01,4.9847599304e-03
5.9381080227e-08,9.0774274421e-01,4.2581862081e-03
5.9391087150e-08,1.0034876761e+00,3.2070377697e-03
5.9401094073e-08,1.1045841613e+00,2.0289543607e-03
5.9411100996e-08,1.2089827956e+00,9.5839941935e-04
5.9421107919e-08,1.3143380090e+00,2.2410996410e-04
5.9431114841e-08,1.4181011717e+00,4.8926781977e-06
5.9441121764e-08,1.5176370963e+00,3.9207374994e-04
5.9451128687e-08,1.6103559691e+00,1.3662202062e-03
5.9461135610e-08,1.6938511870e+00,2.7935711606e-03
5.9471142533e-08,1.7660328805e+00,4.4442495749e-03
5.9481149456e-08,1.8252471120e+00,6.0303151760e-03
5.9491156379e-08,1.8703718189e+00,7.2577762768e-03
5.9501163301e-08,1.9008823811e+00,7.8835553012e-03
5.9511170224e-08,1.9168820669e+00,7.7667593797e-03
5.9521177147e-08,1.9190953063e+00,6.9038784588e-03
5.9531184070e-08,1.9088245224e+00,5.4398283109e-03
5.9541190993e-08,1.8878738751e+00,3.6508086137e-03
5.9551197916e-08,1.8584455311e+00,1.9001307934e-03
5.9561204839e-08,1.8230158006e+00,5.7358415741e-04
5.9571211761e-08,1.7841995721e+00,5.5165927088e-06
5.9581218684e-08,1.7446118813e+00,4.0962242566e-04
5.9591225607e-08,1.7067351855e+00,1.8287129091e-03
5.9601232530e-08,1.6728000525e+00,4.1151652883e-03
5.9611239453e-08,1.6446856218e+00,6.9485014881e-03
5.9621246376e-08,1.6238445021e+00,9.8893893947e-03
5.9631253299e-08,1.6112548902e+00,1.2461526715e-02
5.9641260221e-08,1.6074007856e+00,1.4245916637e-02
5.9651267144e-08,1.6122793773e+00,1.4967604569e-02
5.9661274067e-08,1.6254331187e+00,1.4554421942e-02
5.9671280990e-08,1.6460027549e+00,1.3151563374e-02
5.9681287913e-08,1.6727966985e+00,1.1085028797e-02
5.9691294836e-08,1.7043716543e+00,8.7802988229e-03
5.9701301759e-08,1.7391192828e+00,6.6583570678e-03
5.9711308681e-08,1.7753538951e+00,5.0468177749e-03
5.9721315604e-08,1.8113966549e+00,4.1564588959e-03
5.9731322527e-08,1.8456524310e+00,4.1798253962e-03
5.9741329450e-08,1.8766762377e+00,5.5661030362e-03
