Mach1,Mach2,p2/p1,rho2/rho1,T2/T1,u2/u1,p02/p01,ds/R
2.670512820512821,0.4979777979719738,8.153578511943898,3.527127152298321,2.311676942701349,0.28351685573580393,0.4341134713941232,0.3337797296919678
2.7717948717948717,0.490200757525476,8.796654613193073,3.634600461053331,2.4202535347293015,0.2751334048172639,0.3988453376287324,0.36767262489156227
2.873076923076923,0.483145019136046,9.46366617357002,3.736629877601676,2.532674223448696,0.2676208328778448,0.3660427051676064,0.4020021086406538
2.9743589743589745,0.47672460693160856,10.154613193074734,3.833436209106881,2.6489584381112135,0.26086256440745137,0.3356606103361296,0.4366618871148875
3.0756410256410254,0.4708660003244202,10.86949567170721,3.925249178687631,2.7691224625238493,0.2547608965641107,0.30761805723435803,0.47155853578035534
3.176923076923077,0.4655060138986558,11.608313609467459,4.0123025534267205,2.89318002690334,0.24923344804741773,0.281809110072446,0.5066101407563579
3.278205128205128,0.46059009158323516,12.371067006355467,4.09483031182175,3.021142773765319,0.2442103637635499,0.2581117558218873,0.5417450502991206
3.37948717948718,0.45607092382098063,13.15775586237125,4.173063679721207,3.15302062758129,0.2396320968835078,0.23639483424547947,0.5769007381769673
3.480769230769231,0.4519073187929103,13.968380177514794,4.247228884423414,3.2888220902677068,0.23544763590854975,0.21652333803729784,0.612022776164098
3.5820512820512818,0.4480632751049264,14.802939951786104,4.317545496880841,3.4285544790391462,0.23161307755122393,0.19836236882151548,0.6470639101601066
3.6833333333333336,0.4445072154394241,15.661435185185189,4.384225250968718,3.5722241191245163,0.22809047043808817,0.18178000580818995,0.6819832329359032
3.7846153846153845,0.44121134971691167,16.54386587771203,4.44747124606509,3.719836500876594,0.22484687245246435,0.16664931002377328,0.7167454458033387
3.8858974358974363,0.438151143139048,17.45023202936665,4.507477454544176,3.8713964085997463,0.22185357776817236,0.15284965262246844,0.7513202013269469
3.9871794871794872,0.4353048696845455,18.380533640149025,4.564428469179888,4.026908026768035,0.21908547954080976,0.14026752339657877,0.7856815193520221
4.088461538461538,0.43265323562413893,19.334770710059168,4.6184994369772125,4.1863750280575305,0.21652054171397617,0.12879694655539495,0.8198072689843783
4.18974358974359,0.4301790607139354,20.31294323909709,4.669856135744054,4.34980064666609,0.21413935910054943,0.11833960564974369,0.8536787096355121
4.291025641025641,0.42786700713916825,21.315051227262767,4.718655157964083,4.517187739665085,0.2119247892722598,0.10880475821111775,0.8872800847834048
4.392307692307693,0.4257033481754129,22.341094674556217,4.765044173419952,4.688538838564773,0.20986164316757705,0.10010900300097574,0.9205982626542557
4.493589743589744,0.42367577003246243,23.39107358097743,4.809162247729094,4.863856192837493,0.20793642395246784,0.09217594833956727,0.9536224185786146
4.5948717948717945,0.42177320153768083,24.464987946526406,4.851140198662359,5.043141806800867,0.20613710572119467,0.0849358183662102,0.9863437543005658
4.696153846153846,0.4199856672689556,25.562837771203156,4.891100975973308,5.226397470993994,0.204452945239186,0.07832502483805326,1.0187552500114658
4.797435897435897,0.4183041605141587,26.68462305500767,4.9291600536100555,5.413624788966668,0.20287432120764926,0.07228572479691164,1.0508514453352693
4.898717948717949,0.4167205330539831,27.830343797939957,4.9654258257307085,5.604825200232342,0.20139259654590463,0.06676537876385262,1.082628245908928
5.0,0.41522739926869984,29.0,5.000000000000001,5.799999999999999,0.19999999999999996,0.06171631974861768,1.1140827525787338
