q_Ainv,omega_meV,intensity_clean,intensity_noisy
0.25,20.17857142857143,1.2890587494683623,2.0
0.25,20.35714285714286,1.2799096691772351,0.0
0.25,20.535714285714285,1.2710880243119032,2.0
0.25,20.714285714285715,1.2625781671224883,1.0
0.25,20.892857142857146,1.254365378989704,1.0
0.25,21.07142857142857,1.246435804884718,0.0
0.25,21.25,1.238776393157301,0.0
0.25,21.42857142857143,1.2313748401637254,4.0
0.25,21.60714285714286,1.2242195392955724,3.0
0.25,21.785714285714285,1.217299534014783,4.0
0.25,21.964285714285715,1.2106044745395645,2.0
0.25,22.142857142857146,1.2041245778607803,0.0
0.25,22.32142857142857,1.1978505907996657,1.0
0.25,22.5,1.1917737558456025,0.0
0.25,22.67857142857143,1.1858857795376267,3.0
0.25,22.85714285714286,1.18017880317566,2.0
0.25,23.035714285714285,1.1746453756674737,1.0
0.25,23.214285714285715,1.1692784283353543,2.0
0.25,23.392857142857146,1.1640712515225649,0.0
0.25,23.57142857142857,1.159017472854214,1.0
0.25,23.75,1.1541110370202037,2.0
0.25,23.92857142857143,1.149346186959708,1.0
0.25,24.10714285714286,1.1447174463372498,3.0
0.25,24.285714285714285,1.1402196032100496,1.0
0.25,24.464285714285715,1.1358476947949838,0.0
0.25,24.642857142857146,1.1315969932513532,3.0
0.25,24.82142857142857,1.127462992402763,1.0
0.25,25.0,1.1234413953278697,1.0
0.3595238095238095,-25.0,1.1273249746758538,0.0
0.3595238095238095,-24.821428571428573,1.1314113464661897,0.0
0.3595238095238095,-24.642857142857142,1.135617652313346,0.0
0.3595238095238095,-24.464285714285715,1.139948857140521,2.0
0.3595238095238095,-24.285714285714285,1.1444101919902157,2.0
0.3595238095238095,-24.107142857142858,1.1490071715262378,2.0
0.3595238095238095,-23.928571428571427,1.1537456128989605,3.0
0.3595238095238095,-23.75,1.1586316560965557,3.0
0.3595238095238095,-23.571428571428573,1.163671785917465,1.0
0.3595238095238095,-23.392857142857142,1.1688728557133448,0.0
0.3595238095238095,-23.214285714285715,1.1742421130673257,3.0
0.3595238095238095,-23.035714285714285,1.179787227589837,0.0
0.3595238095238095,-22.857142857142858,1.1855163210337358,2.0
0.3595238095238095,-22.678571428571427,1.1914379999522988,3.0
0.3595238095238095,-22.5,1.197561391148075,2.0
0.3595238095238095,-22.32142857142857,1.2038961801880759,1.0
0.3595238095238095,-22.142857142857142,1.2104526532916067,3.0
0.3595238095238095,-21.964285714285715,1.2172417429317877,0.0
0.3595238095238095,-21.785714285714285,1.2242750775309352,1.0
