Q,omega_peak,amplitude,gamma,background,omega_guess
0.4152173913043478,8.571258689795132,4.38487699694699,2.6149556278459656,-2.9999999999996803,7.945173745173745
0.42826086956521736,8.614733885872079,3.955059137217163,2.0085451331988287,-2.357784731937177,8.127413127413128
0.4413043478260869,8.703666142208274,3.808616403786256,1.8035857360227943,-2.0085369168268814,8.172972972972973
0.4543478260869565,8.915627143650594,4.811207127961084,2.1611393403181935,-2.8328123579021143,8.81081081081081
0.46739130434782605,8.891575957409254,5.04403183900894,2.0099251909090707,-2.9999999999999996,8.719691119691118
0.4804347826086956,8.816700257755299,2.5902163424615168,0.91374231963677,-0.21938931204255946,9.403088803088803
0.4934782608695652,8.91543966564143,4.42757990680458,1.627579634808204,-2.167951272134853,8.446332046332046
0.5065217391304347,8.974245237809924,5.242679798319296,2.0153526849591312,-2.999999999999326,8.674131274131273
0.5195652173913043,9.115311762267806,5.245395165751298,2.2271779637122573,-2.9999999999999902,8.81081081081081
0.532608695652174,8.933788239509212,3.1086092101755427,1.3824138313358163,-0.9490213911695657,8.947490347490348
0.5456521739130434,8.80866159889386,4.8307864986532625,2.016607442501978,-2.8781104589896485,8.537451737451736
0.558695652173913,8.513759936370972,1.4280773084702845,1.1286837132296363,0.33686117644674973,9.72200772200772
0.5717391304347826,8.673307196983,3.9849913280240834,2.063995655985938,-2.356583999781401,8.036293436293436
0.5847826086956522,8.62415575994467,4.361200615696355,2.7223832249399473,-2.999999999999998,7.8996138996139
0.5978260869565217,8.233694037190302,3.6338486790967126,2.0183594293322646,-2.3251007975947666,7.808494208494209
0.6108695652173913,7.779042203950576,2.0562895324703043,0.47912412771696433,-0.1889746422580452,7.717374517374518
0.6239130434782609,7.626896322229588,2.198790254569498,0.4098956136699824,-0.17783613554012984,7.671814671814672
0.6369565217391304,7.485871211089962,2.533136649546632,0.4425935125282906,-0.36327415720144407,7.398455598455599
0.65,7.34699820607616,2.8058453872245197,0.4597237949603478,-0.4858791990575466,7.352895752895753
0.6630434782608696,7.193346363667686,3.0105983096400326,0.4667191936195355,-0.550267588188789,7.1250965250965255
0.6760869565217391,7.040683745428496,3.2355886047113716,0.46541209804373196,-0.5962983213165475,7.079536679536679
0.6891304347826087,6.855818955423224,3.391867896371998,0.5008872863842385,-0.7433614698380079,6.942857142857143
0.7021739130434783,6.692038644932436,3.4563083366308756,0.5167706008768193,-0.7674893151256545,6.760617760617761
0.7152173913043478,6.503451031212757,3.618780904886961,0.5225070683442228,-0.8084521829698871,6.532818532818533
0.7282608695652174,6.301265012207196,3.660516921487407,0.5211209693506648,-0.7704898562229878,6.3050193050193055
0.741304347826087,6.099541731594743,3.845857440243846,0.5683157059788156,-0.897558631739722,6.122779922779923
0.7543478260869565,5.885433820860627,3.8960718531240084,0.5764626744309946,-0.9342859376198818,5.8949806949806955
0.7673913043478261,5.666133266993567,3.826998190300977,0.5920021718772676,-0.9102634367734473,5.712741312741313
0.7804347826086957,5.4515520874849,3.8314159394744483,0.5722148583968931,-0.8391312449849525,5.4393822393822395
0.7934782608695652,5.222286012188226,3.971282563905156,0.5577683664820927,-0.8176843555862167,5.211583011583012
0.8065217391304348,4.964283116104319,3.8481628664203438,0.5606155165838719,-0.7392092594570571,4.983783783783784
0.8195652173913044,4.723714114704395,3.87213115642436,0.5716902715949674,-0.7767497891189832,4.755984555984556
0.8326086956521739,4.482224859103579,3.8835238154396925,0.553248057304426,-0.72704757107604,4.528185328185328
0.8456521739130435,4.216237039371933,3.8451551832569755,0.5484034344556561,-0.6926606599183227,4.20926640926641
0.8586956521739131,3.9658916067155396,3.756492944732491,0.5215328037904055,-0.5856588252127123,3.9814671814671816
0.8717391304347826,3.706426232102337,3.651361272011103,0.5101362467725775,-0.45353410396280774,3.7081081081081084
0.8847826086956522,3.453250024908594,3.3604949924030296,0.5131761515339708,-0.31395360441534076,3.434749034749035
0.8978260869565218,3.183198406266682,3.1941142961965188,0.47323689542015024,-0.07413496969779093,3.2069498069498072
0.9108695652173913,2.9425399177119442,2.7284061509625714,0.43926713405815293,0.2786259553710685,2.9335907335907336
0.9239130434782609,2.2589161453468756,5.349948158075387,2.1794473343934504,-2.9999999999998876,2.705791505791506
0.9369565217391305,1.9169267549527724,5.98642446658654,2.000862504368498,-2.9999999999999685,2.477992277992278
0.95,1.76653630874222,6.047193511902393,1.3865110011276434,-2.1199058936240256,1.9768339768339769
