frequency_ghz,propagating,beta_rad_per_m,alpha_ev_np_per_m,lambda_g_mm,v_phase_over_c,v_group_over_c,z_te_ohm
7.359073359073359,True,70.0146220258746,,89.74104444722379,2.202893741266109,0.4539483594997424,829.8968495600852
7.409266409266409,True,72.30251858439767,,86.90133387048358,2.1477362648229774,0.4656065162090202,809.1173561726598
7.45945945945946,True,74.53505460857131,,84.29839275192586,2.0975192218831,0.47675367623197507,790.199073847306
7.5096525096525095,True,76.71706337570993,,81.90075363558509,2.051573292353817,0.4874307945648273,772.8898494157424
7.559845559845559,True,78.8527395599995,,79.68252393309271,2.00934866331053,0.49767370803255023,756.9825516825679
7.610038610038609,True,80.94575056712974,,77.62217612608126,1.9703889859520602,0.5075140021231981,742.3052602208885
7.66023166023166,True,82.99932414947304,,75.70164421898463,1.9343119424900908,0.5169796960011908,728.7139443304895
7.710424710424711,True,85.01631819419764,,73.90563883073936,1.9007945285943677,0.526095790447954,716.0869184888006
7.760617760617761,True,86.99927692204837,,72.22112101930847,1.8695617568677132,0.5348847109899233,704.3205866074986
7.8108108108108105,True,88.95047659375352,,70.63689310935989,1.840377880155597,0.5433666698468762,693.3261355871715
7.86100386100386,True,90.87196302043324,,69.14327696174853,1.8130394966732768,0.5515599642671256,683.026937809705
7.911196911196911,True,92.76558260342316,,67.731858420385,1.7873700782858795,0.5594812244809526,673.356489775522
7.961389961389961,True,94.63300821569872,,66.39528242469275,1.7632155875635813,0.5671456213597817,664.2567609154081
8.011583011583012,True,96.4757609339617,,65.1270873259084,1.7404409366900455,0.5745670415577507,655.6768595539766
8.061776061776062,True,98.29522840532894,,63.921569837249116,1.7189271037134684,0.581758236192599,647.5719465140213
8.111969111969112,True,100.09268046345395,,62.773674139676146,1.6985687667495193,0.5887309478283053,639.9023438490497
8.162162162162161,True,101.86928248052426,,61.67890019624737,1.6792723497586672,0.5954960195371005,632.6327986283611
8.212355212355213,True,103.62610684315537,,60.633227461585356,1.6609543979457606,0.6020634890619408,625.7318709008225
