x,h,u,momentum
0.90875000,1.45317175,1.30573981,1.89746421
0.91125000,1.45306129,1.30601611,1.89772144
0.91375000,1.45293129,1.30634302,1.89802664
0.91625000,1.45278367,1.30671561,1.89837510
0.91875000,1.45262205,1.30712445,1.89875780
0.92125000,1.45245162,1.30755608,1.89916194
0.92375000,1.45227868,1.30799410,1.89957194
0.92625000,1.45210997,1.30842099,1.89997117
0.92875000,1.45195192,1.30882006,1.90034381
0.93125000,1.45180986,1.30917744,1.90067672
0.93375000,1.45168748,1.30948352,1.90096083
0.93625000,1.45158652,1.30973377,1.90119188
0.93875000,1.45150681,1.30992861,1.90137029
0.94125000,1.45144660,1.31007259,1.90150041
0.94375000,1.45140305,1.31017310,1.90158923
0.94625000,1.45137280,1.31023884,1.90164501
0.94875000,1.45135251,1.31027851,1.90167600
0.95125000,1.45133919,1.31029986,1.90168954
0.95375000,1.45133046,1.31030911,1.90169152
0.95625000,1.45132453,1.31031087,1.90168631
0.95875000,1.45132020,1.31030828,1.90167687
0.96125000,1.45131672,1.31030329,1.90166506
0.96375000,1.45131363,1.31029705,1.90165197
0.96625000,1.45131070,1.31029018,1.90163816
0.96875000,1.45130783,1.31028297,1.90162392
0.97125000,1.45130494,1.31027556,1.90160938
0.97375000,1.45130202,1.31026800,1.90159459
0.97625000,1.45129906,1.31026031,1.90157956
0.97875000,1.45129606,1.31025250,1.90156429
0.98125000,1.45129300,1.31024457,1.90154877
0.98375000,1.45128990,1.31023651,1.90153301
0.98625000,1.45128675,1.31022832,1.90151700
0.98875000,1.45128355,1.31021999,1.90150073
0.99125000,1.45128030,1.31021154,1.90148419
0.99375000,1.45127699,1.31020294,1.90146738
0.99625000,1.45127363,1.31019419,1.90145028
0.99875000,1.45127021,1.31018530,1.90143290
