H_A_per_m,M_A_per_m,B_T
-1069.7142857142858,-1599811.924964945,-2.011727198854663
-1066.2857142857142,-1599806.8819597624,-2.0117165531575245
-1062.857142857143,-1599801.7069363855,-2.01170574156143
-1059.4285714285716,-1599796.3959297123,-2.0116947590836864
-1056.0,-1599790.9449387875,-2.0116836006965437
-1052.5714285714287,-1599785.3499146355,-2.01167226131191
-1049.142857142857,-1599779.6067495649,-2.011660735767907
-1045.7142857142858,-1599773.711267692,-2.0116490188169656
-1042.2857142857142,-1599767.659216477,-2.0116371051151862
-1038.857142857143,-1599761.4462590986,-2.0116249892127582
-1035.4285714285716,-1599755.0679675152,-2.011612665545241
-1032.0,-1599748.5198160945,-2.0116001284255574
-1028.5714285714287,-1599741.7971757005,-2.0115873720365625
-1025.142857142857,-1599734.8953081528,-2.011574390424084
-1021.7142857142858,-1599727.8093609822,-2.011561177490329
-1018.2857142857143,-1599720.5343624214,-2.0115477269875908
-1014.8571428571429,-1599713.0652165737,-2.011534032512176
-1011.4285714285714,-1599705.3966987175,-2.011520087498507
-1008.0,-1599697.5234507066,-2.011505885213338
-1004.5714285714286,-1599689.4399764347,-2.0114914187500577
-1001.1428571428571,-1599681.1406373328,-2.011476681023032
-997.7142857142858,-1599672.6196478812,-2.011461664761962
-994.2857142857143,-1599663.871071109,-2.01144636250623
-990.8571428571429,-1599654.888814068,-2.011430766599212
-987.4285714285714,-1599645.6666232627,-2.0114148691825338
-984.0,-1599636.1980800258,-2.0113986621902598
-980.5714285714286,-1599626.476595823,-2.011382137342993
-977.1428571428571,-1599616.4954074793,-2.0113652861418787
-973.7142857142858,-1599606.2475723196,-2.0113480998624924
-970.2857142857143,-1599595.725963208,-2.0113305695486114
-966.8571428571429,-1599584.923263486,-2.0113126860058523
-963.4285714285714,-1599573.831961798,-2.0112944397951673
-960.0,-1599562.4443467965,-2.0112758212261896
-956.5714285714286,-1599550.7525017252,-2.0112568203504315
-953.1428571428571,-1599538.7482988704,-2.0112374269543065
-949.7142857142858,-1599526.4233938754,-2.011217630551986
-946.2857142857143,-1599513.7692199145,-2.01119742037808
-942.8571428571429,-1599500.7769817202,-2.0111767853801292
-939.4285714285714,-1599487.4376494572,-2.0111557142109078
-936.0,-1599473.7419524395,-2.0111341952205284
-932.5714285714287,-1599459.6803726866,-2.0111122164483435
-929.1428571428571,-1599445.24313831,-2.0110897656146363
-925.7142857142858,-1599430.4202167296,-2.0110668301120946
-922.2857142857142,-1599415.2013077117,-2.011043396997063
-918.8571428571429,-1599399.5758362236,-2.011019452980564
-915.4285714285714,-1599383.5329451016,-2.010994984419083
-912.0,-1599367.061487526,-2.010969977305112
-908.5714285714287,-1599350.1500192957,-2.0109444172574458
-905.1428571428571,-1599332.786790902,-2.010918289511215
-901.7142857142858,-1599314.9597393896,-2.0108915789076636
-898.2857142857142,-1599296.656480005,-2.010864269883651
-894.8571428571429,-1599277.8642976228,-2.0108363464608794
-891.4285714285714,-1599258.570137945,-2.010807792234834
-888.0,-1599238.7605984674,-2.0107785903634317
-884.5714285714287,-1599218.4219192078,-2.0107487235553685
-881.1428571428571,-1599197.5399731866,-2.0107181740581583
-877.7142857142858,-1599176.1002566572,-2.010686923645856
-874.2857142857142,-1599154.0878790775,-2.010654953606454
-870.8571428571429,-1599131.4875528142,-2.010622244728946
-867.4285714285714,-1599108.2835825763,-2.0105887772900477
-864.0,-1599084.4598545681,-2.010554531040566
-860.5714285714287,-1599059.9998253547,-2.010519485191408
-857.1428571428571,-1599034.8865104336,-2.010483618399218
-853.7142857142858,-1599009.1024725034,-2.010446908751636
-850.2857142857142,-1598982.6298094217,-2.010409333752168
-846.8571428571429,-1598955.4501418455,-2.010370870304649
-843.4285714285714,-1598927.5446005436,-2.0103314946973048
-840.0,-1598898.8938133747,-2.0102911825863843
-836.5714285714287,-1598869.4778919204,-2.0102499089793633
-833.1428571428571,-1598839.2764177648,-2.0102076482177047
-829.7142857142858,-1598808.2684284137,-2.0101643739591606
-826.2857142857143,-1598776.4324028383,-2.0101200591596085
-822.8571428571429,-1598743.7462466406,-2.0100746760544097
-819.4285714285714,-1598710.187276826,-2.0100281961392725
-816.0,-1598675.7322061737,-2.009980590150611
